22-caliber,22calibre-22caliber-22calibre
american-smooth-dogfish,musteluscanis-americansmoothdogfish
american-spikenard,lifeofman-araliaracemosa-pettymorel-americanspikenard
american-star-grass,hypoxishirsuta-americanstargrass
american-state,americanstate
american-sycamore,americansycamore-americanplane-platanusoccidentalis-buttonwood
american-toad,bufoamericanus-americantoad
american-turkey-oak,turkeyoak-americanturkeyoak-quercuslaevis
american-twinflower,linnaeaborealisamericana-americantwinflower
american-water-ouzel,cinclusmexicanus-americanwaterouzel
american-water-shrew,americanwatershrew-sorexpalustris
american-water-spaniel,americanwaterspaniel
american-watercress,cardaminerotundifolia-mountainwatercress-americanwatercress
american-white-birch,paperbirch-betulapapyrifera-betulacordifolia-americanwhitebirch-canoebirch-paperbarkbirch
american-white-oak,americanwhiteoak-quercusalba
american-white-pine,americanwhitepine-weymouthpine-easternwhitepine-pinusstrobus
american-widgeon,americanwidgeon-anasamericana-baldpate
american-wistaria,americanwistaria-americanwisteria-wisteriafrutescens
american-woodcock,woodcocksnipe-americanwoodcock-philohelaminor
american-wormseed,chenopodiumambrosioides-americanwormseed-wormseed-spanishtea-mexicantea
americanization,americanization-americanisation
americanize,americanise-americanize
americanize,americanise-americanize
amerind,amerind-indian-americanindian-amerindianlanguage-americanindianlanguage
amerindian,amerindian-nativeamerican
amharic,amharic-ethiopianlanguage
amia,amia-genusamia
amianthum,genusamianthum-amianthum
amiidae,familyamiidae-amiidae
amish-sect,amishsect
amman,capitalofjordan-amman
ammodytes,genusammodytes-ammodytes
ammodytidae,familyammodytidae-ammodytidae
ammotragus,ammotragus-genusammotragus
amoebida,amoebida-orderamoebida-amoebina-orderamoebina
amos,bookofamos-amos
amphibolips,genusamphibolips-amphibolips
amphicarpaea,amphicarpaea-amphicarpa-genusamphicarpa-genusamphicarpaea
amphineura,subclassamphineura-amphineura
amphioxidae,branchiostomidae-familybranchiostomidae-familyamphioxidae-amphioxidae
amphipoda,amphipoda-orderamphipoda
amphiprion,amphiprion-genusamphiprion
amphisbaena,amphisbaena-amphisbaenia-genusamphisbaena-genusamphisbaenia
amphisbaenidae,amphisbaenidae-familyamphisbaenidae
amphiumidae,familyamphiumidae-amphiumidae
amsinckia,amsinckia-genusamsinckia
amsler-grid,amslergrid
amsonia,amsonia-genusamsonia
amsterdam,capitalofthenetherlands-amsterdam-dutchcapital
amundsen,amundsen-roaldamundsen
amur,heilongjiang-heilong-amur-amurriver
amur-privet,amurprivet-ligustrumamurense
amygdalaceae,familyamygdalaceae-amygdalaceae
amygdalus,amygdalus-genusamygdalus
anabantidae,familyanabantidae-anabantidae
anabaptist-denomination,anabaptistdenomination
anabas,anabas-genusanabas
anabrus,anabrus-genusanabrus
anacanthini,orderanacanthini-anacanthini
anacardiaceae,anacardiaceae-familyanacardiaceae-sumacfamily
anacardium,genusanacardium-anacardium
anacyclus,genusanacyclus-anacyclus
